sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode08	read	occurence
Mapped	526
No mapped	5498
total	6024	GC_content,mapped,occurence
76.53,1.0,1.0
76.55,0.0,1.0
76.61,0.0,1.0
76.65,0.0,1.0
76.72,0.0,2.0
76.73,0.0,1.0
76.76,0.0,1.0
76.83,0.0,1.0
76.89,0.0,1.0
76.99,0.0,1.0
77.03,0.0,1.0
77.05,0.0,1.0
77.08,0.0,1.0
77.1,0.0,1.0
77.12,0.0,1.0
77.33,0.0,1.0
77.34,0.0,1.0
77.4,0.0,1.0
77.51,0.0,1.0
77.68,0.0,1.0
77.78,0.0,1.0
77.83,0.0,1.0
78.21,0.0,1.0
78.52,0.0,1.0	read_length,mapped,occurence
51,1,1
59,1,1
62,1,1
70,1,1
77,1,1
80,1,2
83,1,1
90,1,1
110,1,1
113,1,1
150,0,47
150,1,1
151,0,52
151,1,3
152,0,75
152,1,5
153,0,70
153,1,8
154,0,83
154,1,16
155,0,90
155,1,6
156,0,89
156,1,1
157,0,87
157,1,1
158,0,99
158,1,1
159,0,73
160,0,83
161,0,98
162,0,77
163,0,77
163,1,1
164,0,80
165,0,114
166,0,108
167,0,164
168,0,194
168,1,1
169,0,149
170,0,203
170,1,1
171,0,147
172,0,149
173,0,109
174,0,107
174,1,1
175,0,54
176,0,41
177,0,38
178,0,29
179,0,24
180,0,35
181,0,15
181,1,1
182,0,25
183,0,31
184,0,29
185,0,37
186,0,31
187,0,45
187,1,1
188,0,37
188,1,1
189,0,50
189,1,2
190,0,43
190,1,1
191,0,38
192,0,45
193,0,46
193,1,1
194,0,45
195,0,42
196,0,37
197,0,41
198,0,53
198,1,1
199,0,49
200,0,68
201,0,76
202,0,76
202,1,3
203,0,87
204,0,81
205,0,64
206,0,60
207,0,36
208,0,35
208,1,2
209,0,26
210,0,19
211,0,17
212,0,14
213,0,5
213,1,2
214,0,12
215,0,9
215,1,1
216,0,10
217,0,15
217,1,1
218,0,14
218,1,1
219,0,13
220,0,22
221,0,15
221,1,2
222,0,21
222,1,1
223,0,13
223,1,2
224,0,16
224,1,1
225,0,14
225,1,3
226,0,22
226,1,1
227,0,23
228,0,13
229,0,22
230,0,14
230,1,1
231,0,16
231,1,1
232,0,31
232,1,1
233,0,20
234,0,25
235,0,29
236,0,29
236,1,1
237,0,26
237,1,3
238,0,28
238,1,3
239,0,25
239,1,5
240,0,21
240,1,6
241,0,15
241,1,7
242,0,17
242,1,23
243,0,16
243,1,66
244,0,8
244,1,16
245,0,6
245,1,11
246,0,12
246,1,7
247,0,9
248,0,8
248,1,5
249,0,9
249,1,1
250,0,11
251,0,12
252,0,1
252,1,1
253,0,6
254,0,3
255,0,6
255,1,2
256,0,10
256,1,1
257,0,6
258,0,7
259,0,7
260,0,9
261,0,6
261,1,1
262,0,10
262,1,2
263,0,9
263,1,5
264,0,8
264,1,4
265,0,9
266,0,16
267,0,14
268,0,20
269,0,13
269,1,1
270,0,10
271,0,24
272,0,7
272,1,1
273,0,12
273,1,1
274,0,15
275,0,7
275,1,2
276,0,10
276,1,4
277,0,5
278,0,3
278,1,2
279,0,5
279,1,2
280,0,4
280,1,1
281,0,2
281,1,1
282,0,4
282,1,1
283,0,5
283,1,2
284,0,1
284,1,2
285,0,3
285,1,1
286,0,5
287,0,5
287,1,1
288,0,6
289,0,7
289,1,3
290,0,4
291,0,5
292,0,5
293,0,1
294,0,2
295,0,6
296,0,3
297,0,5
298,0,5
299,0,8
300,0,5
301,0,4
301,1,2
302,0,7
302,1,1
303,0,11
303,1,4
304,0,6
305,0,4
306,0,5
306,1,2
307,0,4
308,0,7
308,1,3
309,0,2
309,1,3
310,0,6
310,1,3
311,0,5
311,1,6
312,0,3
312,1,4
313,0,3
313,1,4
314,0,5
314,1,6
315,1,10
316,0,5
316,1,13
317,0,2
317,1,16
318,1,34
319,0,5
319,1,6
320,0,1
320,1,4
321,0,3
321,1,4
322,0,1
322,1,3
323,0,3
323,1,1
324,0,8
324,1,2
325,0,7
326,0,1
326,1,2
328,0,2
328,1,2
329,1,2
330,0,1
331,0,3
332,0,3
333,0,3
334,0,1
335,0,3
335,1,1
336,0,3
337,0,3
338,0,3
339,1,2
340,0,3
340,1,1
341,0,3
341,1,1
342,0,1
343,0,3
343,1,1
344,0,2
344,1,1
345,0,4
346,0,1
346,1,1
349,0,1
350,1,1
351,0,1
352,0,2
354,0,2
355,1,1
356,0,1
357,0,4
358,1,1
359,0,1
359,1,1
360,1,2
361,0,2
362,0,1
364,0,2
366,1,1
367,0,1
368,0,2
369,0,1
370,0,1
371,1,1
373,1,2
374,0,1
375,0,1
375,1,1
376,1,1
377,0,1
377,1,2
378,1,4
379,0,2
379,1,1
380,1,2
381,0,2
381,1,1
383,1,4
384,0,1
384,1,1
385,1,3
386,0,1
386,1,3
387,0,2
387,1,2
389,0,1
390,1,2
391,0,1
391,1,1
392,0,1
393,0,1
394,0,1
396,0,1
396,1,1
399,1,1
404,0,3
406,0,1
407,0,1
407,1,1
408,0,2
408,1,1
409,0,1
410,0,2
412,0,1
412,1,1
413,0,1
416,1,2
417,1,1
418,0,1
418,1,1
419,0,1
420,0,1
420,1,2
421,0,1
424,0,2
426,0,1
430,0,1
431,0,1
433,1,1
434,0,1
436,1,2
437,0,2
438,0,1
439,1,1
440,1,2
443,1,2
447,0,1
449,0,1
450,1,2
451,0,1
453,1,1
454,0,2
455,1,1
456,0,1
456,1,1
458,0,1
458,1,1
459,0,1
459,1,1
460,0,1
460,1,1
461,0,1
462,0,2
462,1,1
464,0,1
465,0,1
470,0,1
472,1,2
474,0,1
475,1,1
477,0,1
479,1,1
483,0,1
484,0,1
485,0,1
490,0,1
491,0,1
496,0,1
497,0,1
501,1,1
504,0,1
508,0,1
511,0,1
512,0,2
515,0,2
516,1,1
517,1,1
519,1,1
522,0,1
530,0,1
531,0,1
535,1,1
539,1,1
541,1,1
542,0,1
552,1,1
575,1,1
578,1,1
590,1,1
591,0,1
606,0,1
620,0,1
630,1,1
632,1,1
634,1,1
640,1,1
651,1,1
652,1,1
664,1,1
665,0,1
678,1,1
690,1,1
705,1,1
713,0,1
776,0,1
898,1,1
902,1,1
908,1,1
936,1,1
995,1,1
999,0,1
1034,1,1
1046,0,1
1141,0,1
1145,1,1
1176,0,1
1183,0,1	map_score,mapped,occurence
0,0,5498
12,1,1
14,1,3
15,1,16
16,1,52
17,1,2
18,1,1
19,1,1
20,1,1
22,1,1
26,1,2
27,1,2
3,1,3
33,1,2
34,1,1
39,1,1
4,1,4
40,1,2
41,1,1
44,1,1
45,1,1
5,1,2
52,1,1
58,1,1
59,1,1
60,1,418
7,1,2
8,1,3
